Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill
shareKore,0.0988663,0.6860577,0.2290309,0.027818,0.00840318,0.1187092,0,0,0.1390888,0.127426,0,0,0,0.2754435,0.1129791,0.0941088,0,0.0403493,0,0.2881761,0.1222494,0.0580751,0,0.0678653,0,0.2118159,0.1652122,0,0,0,0,0,0.0166376,0.8399044,0,0.1430749
shareChin,0.0329554,2.5147562,0.9489177,0.1613442,0.2647003,0.2223708,0.00482346,0.2834836,0.1216274,0.1382082,0.2770083,0.2760825,0,0.2941176,0.1719682,0.2117448,0.0410269,0.1839926,0.1488498,0.79386,0.2222716,0.1337487,0.5194897,0.3036079,0,1.382257,0.6555193,0,0.122115,0.00560287,0.1069167,0,0.0249563,1.370449,0.0735835,0.3846433
shareViet,0.224097,0.3229202,0.4570038,0.0584177,0.0630239,0.128741,0.0819988,0,0.0680391,0.1578122,0,0,0,0.1120448,0.1004814,0.042349,0.0236216,0.0161397,0,0.1413366,0.0444543,0.0651145,0.0141358,0.3669272,0,1.9299082,0.0266471,0,0,0.0910466,0.0205609,0.0457526,0,1.1339457,0,0.0393974
shareTago,0.0263644,0.141943,0.2652632,0.0973629,0.1869709,0.1053336,0.0530581,0.0278836,0.0969406,0.0705744,0,0.043592,0,0.0933707,0.129476,0.1788067,0.1628644,0.2388676,0.1217862,0.1311998,0.1155812,0.141668,0.0706789,0.2393145,0.1258105,0.3608815,0.1598828,0,0,0.1680861,0.1398141,0.0915053,0.1206222,0.7067078,0.2943341,0.1741781
shareOtherAz,0.0263644,1.1639323,0.7849464,0.517414,0.432764,0.2424344,0.5161104,0.0697091,0.317315,0.1431092,0.33241,0.1017146,0.1763409,0.0420168,0.2354564,0.1364577,0.2598371,0.1016801,0.473613,0.511766,0.4245388,0.2956549,0.3958017,0.9647263,0.2903319,1.7986173,0.5742456,0,0.2075956,0.2157104,0.9334649,0.1830105,0.5199235,2.4788016,0,0.1607
shareArab,0,0.5630404,0.1843355,0.0417269,0,0,0,0,0.0463629,0.0382278,0,0.0726533,0,0,0.0354934,0,0,0.1420294,0,0.1381507,0.0355635,0.0686342,0,0.1419002,0,0.2850695,0.3250949,0,0,0.0210108,0.0205609,0,0.0956659,0.5888298,0,0.0248826
shareOther,0.1581861,0.4731432,0.1584174,0.1808167,0.0567215,0.1136934,0.0771754,0.0139418,0.0764687,0.1009606,0,0.043592,1.5429831,0,0.0774857,1.5575005,0.0385404,0.1678529,0.0947226,0.1940482,0.1222494,0.1856643,0.1766972,0.1470956,0.0677441,1.1713837,0.366398,0.1901141,0.1017625,0.2507284,0.1192532,0.0457526,0.5490392,0.5411929,0,0.0787949
less,190,3550,15780,957,671,902,242,308,3460,1200,38,79,139,3395,6697,1077,1080,1966,132,9080,1131,2352,2368,33206,1633,62863,3797,13,710,7518,418,60,1520,48724,1,5171
shareLess,0.012523069,0.04199146,0.041733335,0.026621787,0.014096343,0.01508109,0.011672776,0.014313598,0.020833208,0.0117624,0.021052632,0.011479221,0.020426157,0.158496732,0.033478806,0.050677583,0.013426991,0.031730661,0.017861976,0.026297879,0.02513892,0.020695845,0.083683783,0.107824641,0.158037356,0.084649608,0.050589568,0.008238276,0.028900558,0.105305917,0.017188914,0.009150526,0.063222694,0.091022027,0.000735835,0.053611604
well,0.987476931,0.95800854,0.958266665,0.973378213,0.985903657,0.98491891,0.988327224,0.985686402,0.979166792,0.9882376,0.978947368,0.988520779,0.979573843,0.841503268,0.966521194,0.949322417,0.986573009,0.968269339,0.982138024,0.973702121,0.97486108,0.979304155,0.916316217,0.892175359,0.841962644,0.915350392,0.949410432,0.991761724,0.971099442,0.894694083,0.982811086,0.990849474,0.936777306,0.908977973,0.999264165,0.946388396
shareWell,14982,80991,362335,34991,46930,58908,20490,21210,162621,100820,1767,6803,6666,18025,193340,20175,79355,59993,7258,336195,43859,111294,25929,274757,8700,679763,71258,1565,23857,63874,23900,6497,22522,486575,1358,91282
