ProjectNumber,BudgetYear,CostType,CostAmount
6035,2007,Material,447133.88
6035,2008,Labor,576.74
6035,2008,Material,-18551.65
6036,2003,Labor,30518.25
6036,2004,Labor,111678.48
6036,2004,Material,239.52
6036,2005,Labor,346023.12
6036,2005,Material,196240.21
6036,2006,Labor,21072.39
6036,2006,Material,554831.28
6036,2007,Labor,5006.88
6036,2007,Material,4248.49
6036,2008,Labor,0
6038,2002,Material,190.52
6039,2002,Material,164.32
6039,2004,Labor,776.17
6040,2002,Material,70.41
6041,2002,Material,4421.31
6041,2003,Labor,14206.05
6041,2003,Material,49155.51
6041,2004,Labor,20417.79
6041,2004,Material,13120.44
6041,2005,Labor,17832.94
6041,2005,Material,34801.5
6041,2006,Labor,31288.41
6041,2006,Material,69004.04
6041,2007,Labor,22724.76
6041,2008,Labor,18346.57
6042,2002,Material,54670.65
6043,2002,Material,550117.28
6043,2003,Material,325000
6044,2002,Material,68196.2
6045,2002,Material,26373.56
6046,2002,Material,26135.56
6047,2002,Material,117219.7
6048,2002,Labor,3090.04
6048,2002,Material,27416.15
6048,2003,Labor,5241.98
6048,2003,Material,266197.34
6048,2004,Labor,555.27
6048,2005,Labor,387.06
6049,2002,Labor,4717.45
6049,2002,Material,54114.96
6049,2003,Labor,190.45
6049,2003,Material,2494.49
6050,2002,Labor,1841.56
6050,2002,Material,249966.56
6050,2003,Labor,15158.5
6050,2003,Material,393758.34
6050,2004,Labor,746.69
6050,2005,Material,56157
6050,2006,Material,43843
6051,2002,Labor,1130.08
6051,2002,Material,199864.18
6051,2003,Labor,1619.4
6051,2003,Material,1878
6052,2002,Material,55979.14
6053,2002,Material,351.52
6054,2002,Labor,970.95
6054,2002,Material,36289.08
6054,2003,Labor,9750.18
6054,2003,Material,462656.43
6054,2004,Labor,20643.74
6054,2004,Material,1179384.18
6054,2005,Labor,10558.43
6054,2005,Material,54131.06
6054,2006,Labor,483.78
6054,2006,Material,758
6054,2007,Labor,97.98
6055,2002,Labor,156.88
6055,2002,Material,36179.17
6056,2002,Material,1158.01
6057,2002,Labor,8016.11
6057,2002,Material,11907.42
6057,2003,Labor,45296.43
6057,2004,Labor,22822.68
6058,2002,Labor,1391.06
6058,2002,Material,5432.1
6058,2003,Labor,8036.22
6058,2003,Material,157157.19
6060,2002,Labor,9980.08
6060,2002,Material,30161.17
6060,2003,Labor,21637.52
6060,2003,Material,172346.91
6060,2004,Labor,54265.01
6060,2004,Material,1613750.65
6060,2005,Labor,54887.14
6060,2005,Material,1155749.29
6060,2006,Labor,3882.41
6060,2006,Material,3195.08
6060,2007,Labor,721.1
6061,2002,Material,50525.08
6062,2002,Labor,17.31
6062,2002,Material,265.41
6062,2003,Labor,313.12
6062,2008,Labor,63.63
6063,2002,Labor,1843.35
6063,2002,Material,72557.51
6063,2003,Material,14127.97
6063,2004,Material,48334.48
6063,2005,Labor,225.9
6063,2005,Material,58803.56
6063,2006,Material,22819.12
6063,2007,Material,26303.13
6063,2008,Material,137712.78
6063,2009,Material,147269.43
6063,2010,Material,80148.04
6063,2011,Material,70996.97
6063,2012,Material,79151.26
6063,2013,Material,60291.2
6063,2014,Material,79601.94
6063,2015,Material,69038.64
6063,2016,Material,100182.71
6063,2017,Material,70236.07
6063,2018,Material,71664.37
6063,2019,Material,21060.84
6065,2002,Material,17788.47
6066,2002,Labor,1135.64
6066,2002,Material,11489.4
6066,2003,Labor,40757.66
6066,2003,Material,324994.84
6066,2004,Labor,13940.36
6066,2004,Material,209817.57
6066,2006,Material,2002.22
6067,2002,Labor,145.8
6067,2002,Material,29318.88
6067,2003,Material,16551.25
6067,2004,Labor,2085.93
6067,2004,Material,13136.02
6067,2006,Labor,28967.14
6067,2006,Material,29995
6067,2007,Labor,35356.07
6068,2002,Labor,224.23
6068,2002,Material,1500
6068,2004,Labor,250.3
6068,2004,Material,-250.3
6068,2005,Labor,3393.18
6068,2005,Material,7213.94
6069,2002,Labor,688.23
6069,2002,Material,11727.6
6069,2003,Labor,4224.82
6069,2003,Material,123
6069,2004,Labor,586.86
6070,2002,Labor,129.51
6070,2003,Labor,8541.55
6070,2003,Material,32685
6070,2004,Labor,6913.95
6070,2004,Material,4134.35
6070,2005,Labor,2726.15
6070,2005,Material,7490.23
6070,2006,Labor,31044.95
6070,2006,Material,77273.28
6070,2007,Labor,74273.88
6070,2007,Material,549836.36
6070,2008,Labor,61522.89
6070,2008,Material,239727.05
6070,2009,Labor,9358.5
6071,2002,Labor,114.05
6071,2003,Labor,319.55
6071,2003,Material,6000
6071,2004,Labor,124.85
6072,2002,Labor,3612.3
6072,2002,Material,2068.55
6072,2003,Labor,6538.74
6072,2003,Material,73951.49
6073,2002,Labor,22539.06
6073,2002,Material,162569.13
6073,2003,Labor,62730.65
6073,2003,Material,596498.31
6073,2004,Labor,65927.29
6073,2004,Material,246624.3
6073,2005,Labor,2289.38
6073,2005,Material,357.45
6073,2006,Labor,0
6074,2002,Labor,1628.12
6074,2002,Material,5766
6075,2002,Labor,74.88
6075,2003,Labor,500.65
6076,2002,Labor,870.31
6076,2002,Material,10614.46
6076,2003,Labor,23784.91
6076,2003,Material,23390.66
6076,2004,Labor,5323.24
6076,2004,Material,10586.87
6077,2002,Labor,1635
6077,2002,Material,15071.48
6077,2003,Labor,242.95
6078,2002,Labor,25403.51
6078,2002,Material,1680.64
6078,2003,Labor,71653.61
6078,2003,Material,78358.18
6078,2004,Labor,87825.71
6078,2004,Material,34842.91
6078,2005,Labor,54665.66
6078,2005,Material,5540
6078,2006,Labor,58976.11
6078,2007,Labor,28168.07
6078,2008,Labor,0
6079,2002,Labor,833.28
6079,2003,Labor,2132.95
6079,2004,Labor,1486.67
6079,2004,Material,18996.15
6079,2005,Labor,13447.84
6079,2005,Material,36507.79
6079,2006,Labor,6733.12
6079,2006,Material,33522.93
6079,2007,Labor,2319.03
6079,2007,Material,3282.5
6080,2002,Labor,153972.79
6080,2003,Labor,303692.81
6080,2004,Labor,222179.13
6080,2005,Labor,40598.8
6080,2006,Labor,239914.8
6080,2007,Labor,252169.78
6080,2008,Labor,266237.49
6080,2009,Labor,240205.31
6080,2010,Labor,283495.84
6080,2011,Labor,286910
6080,2012,Labor,276928.85
6080,2013,Labor,336948.37
6080,2014,Labor,298038.19
6080,2015,Labor,291108.96
6080,2016,Labor,312761.6
6080,2017,Labor,294589.54
6080,2018,Labor,304958.36
6080,2019,Labor,148700.25
6081,2002,Labor,24067.88
6081,2003,Labor,29671.24
6081,2004,Labor,11017.69
6081,2005,Labor,24158.89
6081,2006,Labor,121634.22
6081,2007,Labor,146096.45
6081,2008,Labor,141418.88
6081,2009,Labor,189207.28
6081,2010,Labor,192757.39
6081,2011,Labor,142131.36
6081,2012,Labor,178205.86
6081,2013,Labor,145374.4
6081,2014,Labor,102627.62
6081,2015,Labor,96111.4
6081,2016,Labor,81509.16
6081,2017,Labor,91197.94
6081,2018,Labor,88043.09
6081,2019,Labor,33514.05
6082,2002,Material,5481
6083,2002,Labor,103.86
6083,2002,Material,-103.86
6084,2002,Labor,961.18
6084,2002,Material,16468.28
6084,2003,Labor,901.76
6084,2003,Material,8735
6084,2004,Labor,37627.84
6084,2004,Material,61436.32
6084,2005,Labor,35143.36
6084,2005,Material,18363.51
6085,2002,Labor,12074.09
6085,2002,Material,9385.16
6085,2003,Labor,44166.82
6085,2003,Material,29748.5
6085,2004,Labor,57447
6085,2004,Material,885251.93
6085,2005,Labor,34826
6085,2005,Material,35800.78
6085,2006,Labor,2967.71
6085,2006,Material,14335.4
6086,2004,Labor,1186.23
6086,2004,Material,250.3
6087,2002,Labor,304.27
6087,2002,Material,13271.66
6087,2003,Labor,90.38
6087,2003,Material,13.46
6087,2004,Labor,565.65
6087,2004,Material,2909.87
6087,2005,Labor,51.33
6088,2002,Labor,1171.38
6088,2002,Material,24594.4
6088,2003,Labor,57.52
6088,2003,Material,16200
6089,2002,Labor,7340.15
6089,2002,Material,9995.65
6089,2003,Labor,10538.6
6089,2003,Material,143983.74
6090,2002,Labor,7112.81
6090,2002,Material,94460.48
6090,2003,Labor,34826.97
6090,2003,Material,681853.1
6090,2004,Labor,1520.13
6091,2002,Labor,2929.54
6091,2003,Labor,7535.24
6091,2003,Material,9888
6091,2004,Labor,5867.21
6091,2006,Labor,6517.54
6091,2006,Material,15021
6091,2007,Material,15048
6091,2015,Material,10845.76
6091,2016,Material,8469.96
6091,2017,Material,14775.17
6091,2018,Material,10764
6092,2002,Labor,348.79
6092,2003,Labor,683.51
6092,2003,Material,3970
6092,2004,Labor,2479.33
6092,2004,Material,11539.1
6092,2005,Labor,20722.5
6092,2005,Material,57962.13
6092,2006,Labor,51473.02
6092,2006,Material,110165
6092,2007,Labor,178134.57
6092,2007,Material,319314.91
6092,2008,Labor,219549.67
6092,2008,Material,216617.11
6092,2009,Labor,12625.68
6092,2009,Material,38978.83
6092,2010,Labor,2939.03
6092,2010,Material,30134.24
6092,2011,Labor,1260.35
6092,2011,Material,12010.42
6092,2012,Labor,2478.09
6092,2012,Material,1005.63
6093,2002,Labor,347.74
6093,2002,Material,737689.35
6093,2003,Labor,123543.73
6093,2003,Material,2567023.04
6093,2004,Labor,265701.5
6093,2004,Material,3259107.81
6093,2005,Labor,296063.79
6093,2005,Material,5336451.73
6093,2006,Labor,92659.63
6093,2006,Material,802716.82
6093,2007,Labor,11889.41
6093,2008,Labor,0
6094,2002,Labor,261.54
6094,2003,Labor,7076.19
6094,2003,Material,11724.66
6094,2004,Labor,8179.35
6094,2004,Material,1859.14
6094,2005,Labor,5148.68
6094,2005,Material,4601
6094,2006,Material,29477.18
6094,2007,Material,49480.29
6094,2008,Labor,9058.31
6094,2008,Material,2237
6094,2009,Material,6409.99
6095,2002,Labor,784.62
6095,2003,Labor,6645.93
6095,2003,Material,42953.56
6095,2004,Labor,9955.63
6095,2004,Material,9950.5
6095,2005,Labor,14880.87
6095,2005,Material,8254.6
6095,2006,Labor,8731.49
6095,2006,Material,4762.5
6096,2002,Labor,621.16
6096,2003,Labor,5448.04
6096,2003,Material,7800
6098,2002,Labor,537.61
6098,2002,Material,103.86
6098,2003,Labor,34442.69
6098,2003,Material,90202.24
6098,2004,Labor,48548.03
6098,2004,Material,53655.82
6098,2005,Labor,66587.3
6098,2005,Material,889644.47
6098,2006,Labor,11202.61
6098,2006,Material,13145.84
6098,2007,Labor,4793.19
6098,2007,Material,19802.92
6099,2002,Labor,451.03
6099,2003,Labor,33341.16
6099,2003,Material,29357
6099,2004,Labor,6892.69
6100,2002,Labor,194.07
6100,2003,Labor,3448.45
6100,2003,Material,34444.42
6100,2004,Labor,15947.12
6100,2004,Material,57120.34
6100,2005,Labor,8737.98
6100,2005,Material,10810.72
6100,2006,Labor,10590.27
6100,2006,Material,34654.46
6100,2007,Labor,5146.06
6100,2007,Material,23650.99
6100,2008,Labor,1357.34
6100,2008,Material,9988.14
6100,2009,Labor,3545.92
6100,2009,Material,23648.28
6100,2010,Labor,4723.59
6100,2010,Material,33379.22
6100,2011,Labor,2048.51
6100,2011,Material,12158.55
6101,2002,Material,5676.15
6101,2003,Labor,17798.36
6101,2003,Material,15311.81
6101,2004,Labor,8467.63
6101,2004,Material,158307.81
6102,2003,Labor,26.46
6103,2002,Labor,166.8
6103,2002,Material,87987.14
6103,2003,Labor,26017.58
6103,2003,Material,111275.61
6103,2004,Labor,24916.63
6103,2004,Material,111473.69
6103,2005,Labor,16057.83
6103,2005,Material,60099.93
6103,2006,Labor,7644.57
6103,2006,Material,34457.51
6103,2007,Material,41671.91
6103,2008,Labor,4318.7
6103,2008,Material,48971.32
6103,2009,Labor,452.56
6103,2009,Material,29714.23
6103,2010,Labor,446.31
6103,2010,Material,34607.61
6103,2011,Labor,44.71
6104,2003,Labor,2612.16
6104,2003,Material,2450
6104,2004,Labor,3442.56
6104,2005,Labor,26081.81
6104,2005,Material,39279.25
6104,2006,Labor,0
6105,2003,Labor,13570.36
6105,2003,Material,74524.28
6105,2004,Labor,460.07
6105,2004,Material,5100.65
6105,2005,Labor,0.01
6106,2003,Material,121030.48
6106,2005,Material,42230.78
6106,2006,Material,46278.06
6106,2008,Material,76273.22
6106,2009,Material,126590.45
6106,2010,Material,38429.15
6106,2011,Material,52779.18
6106,2012,Material,22790.27
6106,2013,Material,274925.1
6106,2014,Material,21988.82
6106,2015,Material,72566.8
6106,2016,Material,20638.52
6106,2017,Material,115055.42
6106,2018,Material,113407.01
6106,2019,Material,21643.71
6107,2003,Material,194561
6107,2004,Labor,1940.43
6107,2004,Material,165442.68
6107,2005,Labor,785.41
6107,2005,Material,157956.76
6107,2006,Material,40233.89
6107,2007,Material,24811.04
6107,2008,Material,21000.08
6107,2009,Material,77190.86
6107,2010,Material,68728.9
6107,2011,Material,58692.43
6107,2012,Material,14005.49
6107,2014,Material,89048.63
6107,2015,Material,106227.77
6107,2016,Material,44107.68
6107,2018,Material,102326.66
6108,2003,Material,126067.28
6108,2004,Material,2943.06
6108,2005,Material,6179
6110,2005,Labor,154.36
6111,2003,Labor,4811.03
6111,2003,Material,3677
6111,2004,Labor,3333.49
6111,2004,Material,4030
6111,2005,Labor,8542.31
6111,2005,Material,4225.52
6112,2003,Labor,12555.26
6112,2003,Material,73964.93
6112,2004,Labor,8976.14
6112,2004,Material,45205.97
6112,2005,Labor,1038.48
6112,2005,Material,5327.32
6112,2006,Labor,5729.2
6112,2006,Material,16361.04
6112,2007,Labor,2931.04
6112,2008,Labor,553.96
6112,2009,Labor,52865.27
6112,2009,Material,255421.09
6112,2010,Labor,58641.25
6112,2010,Material,670251.73
6112,2011,Labor,1573.15
6112,2011,Material,28.28
6112,2012,Labor,25.11
6113,2003,Material,134181
6113,2004,Material,146119
6113,2005,Material,158314
6113,2006,Material,172301.55
6113,2007,Material,175301
6113,2008,Labor,19.99
6113,2008,Material,178617
6114,2003,Material,19131.79
6114,2004,Labor,4930.24
6114,2004,Material,15006.55
6114,2005,Labor,3729.36
6114,2005,Material,8844.9
6114,2006,Labor,12322.8
6114,2006,Material,33379.07
6114,2007,Labor,13980
6114,2007,Material,115014.85
6114,2008,Labor,1262.77
6114,2008,Material,17591.66
6114,2009,Labor,464.29
6114,2009,Material,11684.71
6114,2010,Labor,5231.63
6114,2010,Material,65706.3
6114,2011,Labor,2573.56
6114,2011,Material,39155.6
6114,2012,Material,2185.51
6115,2004,Labor,4422.64
6115,2004,Material,72589.86
6115,2005,Labor,7174.15
6115,2005,Material,77382.63
6115,2006,Labor,23459.88
6115,2006,Material,29209.5
6115,2007,Labor,1588.73
6115,2007,Material,10352.4
6115,2008,Labor,1959.18
6115,2008,Material,4800
6116,2003,Labor,1028.51
6116,2003,Material,5882.91
6116,2004,Material,9000
6116,2005,Labor,2382.16
6117,2003,Labor,5740.5
6117,2003,Material,14161.9
6117,2004,Labor,10767.58
6117,2004,Material,28131.68
6117,2005,Labor,8684.61
6117,2005,Material,3151.91
6117,2006,Labor,1320.59
6119,2003,Labor,15015.52
6119,2003,Material,65418.57
6119,2004,Labor,25415.18
6119,2004,Material,65771.25
6119,2005,Labor,49312.78
6119,2005,Material,244974.06
6119,2006,Labor,9380.51
6119,2006,Material,1609.5
6119,2007,Labor,16220.59
6119,2008,Labor,11660.98
6120,2003,Material,639668.41
6120,2004,Material,341495.77
6120,2005,Material,0
6121,2003,Labor,376.77
6121,2003,Material,693480.15
6122,2003,Labor,759.35
6122,2003,Material,53570.4
6122,2004,Labor,592.22
6122,2004,Material,61130.11
6122,2005,Labor,1772.06
6122,2005,Material,436635.42
6122,2006,Labor,1647.25
6122,2006,Material,36106.72
6122,2007,Labor,684.89
6122,2007,Material,2338.19
6122,2008,Material,7966.25
6122,2010,Material,40054.1
6123,2003,Labor,102.79
6123,2003,Material,160333.01
6124,2003,Labor,64143.35
6124,2003,Material,34803.22
6124,2004,Labor,7765.02
6124,2005,Labor,571.26
6124,2007,Labor,8287.92
6125,2003,Labor,24732.34
6125,2003,Material,155045.02
6125,2004,Labor,47841.59
6125,2004,Material,325503.81
6125,2005,Labor,46755.37
6125,2005,Material,411167.36
6125,2006,Labor,47169.42
6125,2006,Material,463027.85
6125,2007,Labor,69.52
6125,2007,Material,317462.44
6125,2008,Material,24548.4
6126,2003,Material,37228.78
6126,2004,Material,1080.84
6126,2005,Material,10436
6126,2006,Labor,256.84
6126,2006,Material,11410
6126,2007,Material,13280
6126,2008,Material,15000
6126,2009,Labor,136.56
6126,2009,Material,10000
6126,2010,Material,10000
6127,2003,Labor,171.05
6127,2004,Labor,90.51
6127,2005,Labor,5218.24
6127,2005,Material,31524.93
6127,2006,Labor,8295.8
6127,2006,Material,23706.95
6127,2007,Labor,5995.85
6127,2007,Material,8834
6127,2008,Labor,2946.77
6127,2008,Material,26041
6127,2009,Labor,527.33
6128,2003,Labor,232.1
6128,2004,Labor,8273.26
6128,2004,Material,64787.37
6128,2005,Labor,13653.14
6128,2005,Material,17431.53
6128,2006,Labor,89750.19
6128,2006,Material,120182.8
6128,2007,Labor,7207.3
6128,2007,Material,58024.97
6128,2008,Labor,316.6
6129,2003,Labor,1451.84
6129,2003,Material,19378.8
6129,2004,Labor,11822.15
6129,2004,Material,5.71
6129,2005,Labor,9749.58
6129,2005,Material,3933.62
6129,2006,Labor,30889.72
6129,2006,Material,353307.84
6129,2007,Labor,12580.89
6129,2007,Material,380607.88
6129,2008,Labor,81.6
6130,2003,Labor,1716.22
6130,2004,Labor,678.98
6130,2005,Labor,41.41
6130,2006,Labor,0
6131,2003,Material,52444.3
6131,2004,Material,15600
6131,2005,Labor,1119
6131,2005,Material,231866.14
6131,2006,Material,21878.53
6131,2011,Material,31800
6131,2017,Labor,11187.42
6131,2017,Material,18905.3
6131,2018,Labor,19935
6131,2018,Material,217795.26
6132,2003,Labor,2088.17
6132,2003,Material,5960
6132,2004,Labor,2751.56
6132,2004,Material,20619
6132,2005,Labor,60.76
6133,2003,Labor,1940.13
6133,2004,Labor,10026.14
6133,2004,Material,40856.11
6133,2005,Labor,10746.75
6133,2005,Material,34830.1
6133,2006,Labor,82371.7
6133,2006,Material,35547.73
6133,2007,Labor,532.18
6133,2007,Material,116.38
6134,2003,Labor,91.76
6134,2003,Material,-91.76
6135,2003,Labor,266.55
6135,2003,Material,-266.55
6135,2004,Labor,5438
6135,2004,Material,59816.77
6135,2005,Labor,39017.59
6135,2005,Material,13716.82
6135,2006,Labor,443.54
6136,2003,Labor,1453.98
6136,2004,Labor,15652.48
6136,2004,Material,12.95
6136,2005,Labor,8573.76
6136,2005,Material,199
6136,2006,Labor,2253.03
6136,2007,Labor,702.68
6136,2008,Labor,181.16
6137,2003,Labor,17756.02
6137,2003,Material,30177.79
6137,2004,Labor,5214.74
6137,2004,Material,26224
6138,2003,Labor,1020.33
6138,2003,Material,1220.75
6138,2004,Labor,14296.35
6138,2004,Material,54220.22
6138,2005,Labor,112613.68
6138,2005,Material,760124.75
6138,2006,Labor,12822.7
6138,2006,Material,167145.3
6138,2007,Labor,103831.3
6138,2007,Material,1317645.18
6138,2008,Labor,86523.32
6138,2008,Material,1803219.8
6138,2009,Labor,9369.66
6138,2009,Material,121699.36
6139,2003,Labor,8019.09
6139,2003,Material,25903.17
6139,2004,Labor,24734.63
6139,2004,Material,4863.23
6140,2003,Labor,617.39
6140,2003,Material,91.76
6140,2004,Labor,324.96
6140,2007,Material,0
6141,2003,Labor,109.97
6141,2004,Labor,29353.99
6141,2004,Material,11056.08
6141,2005,Labor,41932.62
6141,2005,Material,27742.79
6141,2006,Labor,2532.12
6141,2006,Material,11298.04
6141,2007,Material,595.01
6142,2003,Material,12170
6142,2004,Labor,34507.25
6142,2004,Material,30193.91
6142,2005,Labor,3755.1
6142,2005,Material,8641
6142,2006,Labor,1326.38
6142,2006,Material,5605.4
6142,2007,Labor,351.28
6142,2007,Material,3665.08
6142,2008,Labor,922.93
6142,2008,Material,6792.15
6142,2009,Material,1104.85
6143,2004,Labor,698.07
6144,2003,Labor,5541.37
6144,2004,Labor,20768.45
6144,2004,Material,61220.19
6144,2005,Labor,218.25
6144,2005,Material,8826.75
6145,2003,Labor,2443.6
6145,2003,Material,1472.94
6146,2004,Labor,13131.23
6146,2004,Material,8154
6147,2003,Labor,2413.35
6147,2003,Material,11255.25
6147,2004,Labor,2290.71
6147,2004,Material,3368.34
6148,2003,Material,3325
6148,2004,Labor,445.04
6148,2004,Material,4974.1
6148,2005,Labor,927.21
6148,2005,Material,1078.13
6149,2003,Labor,762.33
6149,2003,Material,8998.75
6149,2004,Labor,17719.82
6149,2004,Material,127959.64
6149,2005,Labor,361.83
6150,2003,Material,31078.27
6150,2004,Labor,50763.36
6150,2004,Material,469279.3
6150,2005,Labor,410.89
6150,2005,Material,667.6
6151,2003,Labor,247.73
6151,2004,Labor,12033.51
6151,2004,Material,30385.5
6151,2005,Labor,568.82
6151,2005,Material,154.08
6152,2004,Labor,1684.18
6152,2004,Material,94600
6153,2004,Material,6144.8
6153,2005,Material,7915.02
6154,2004,Labor,7902.99
6154,2004,Material,18651.17
6155,2004,Labor,3801.16
6155,2004,Material,140973.19
6155,2005,Material,2500
6156,2003,Material,4888.64
6156,2004,Labor,15730.12
6156,2004,Material,121217.3
6156,2005,Labor,305.55
6156,2005,Material,4133.05
6157,2003,Material,7196.84
6157,2004,Labor,9294.28
6157,2004,Material,73156.45
6157,2005,Labor,419.29
6157,2005,Material,1490.7
6157,2006,Material,828.77
6157,2007,Labor,2867.28
6157,2008,Labor,5830.26
6157,2009,Labor,15640.05
6157,2010,Labor,7704.06
6158,2004,Labor,1116.32
6158,2004,Material,9296.07
6158,2005,Labor,600.42
6158,2005,Material,1261.69
6159,2004,Material,16051.45
6160,2004,Labor,36625.06
6160,2004,Material,36503.75
6161,2004,Labor,12661.41
6161,2005,Labor,2881.13
6161,2006,Labor,6372.45
6161,2006,Material,3308
6161,2007,Labor,3124.03
6162,2004,Labor,4609.64
6162,2004,Material,7796
6162,2005,Labor,15563.44
6162,2005,Material,12776.46
6162,2006,Labor,33839.93
6162,2006,Material,91795.5
6162,2007,Labor,2379.64
6162,2007,Material,61663.13
6163,2004,Labor,7123.23
6163,2004,Material,45547.58
6164,2004,Labor,912.8
6164,2004,Material,7354.49
6164,2005,Labor,9475.64
6164,2005,Material,24288.17
6164,2006,Labor,72641.32
6164,2006,Material,89514.4
6164,2007,Labor,1974.7
6164,2007,Material,20286.89
6164,2008,Labor,443.27
6164,2008,Material,8447.47
6164,2009,Labor,136.55
6164,2009,Material,10051.48
6164,2010,Labor,552.4
6164,2010,Material,6959.41
6164,2011,Labor,198.95
6164,2011,Material,5375.19
6165,2004,Labor,14699.02
6165,2004,Material,41168.45
6165,2005,Labor,52332.11
6165,2005,Material,122161.06
6165,2006,Labor,12584.55
6165,2006,Material,59565.36
6165,2007,Labor,5087.2
6165,2007,Material,22351.98
6165,2008,Labor,720.72
6165,2008,Material,17990.45
6165,2009,Labor,2198.3
6165,2009,Material,15072.9
6165,2010,Labor,1104.81
6165,2010,Material,4441.42
6165,2011,Labor,836.52
6165,2011,Material,7526.18
6167,2004,Labor,2070.65
6167,2004,Material,233.57
6167,2005,Labor,1655.6
6167,2005,Material,10524.08
6167,2006,Material,43527.18
6167,2007,Material,6524
6167,2009,Material,51538.62
6167,2010,Material,10803.56
6168,2004,Labor,2660.59
6168,2004,Material,18685
6168,2005,Labor,19703.86
6168,2005,Material,24586
6168,2006,Labor,63585.36
6168,2006,Material,148461.32
6168,2007,Labor,47712.5
6168,2007,Material,874656.22
6169,2004,Labor,23686.55
6169,2004,Material,59289.02
6169,2005,Labor,80203.48
6169,2005,Material,360393.15
6169,2006,Labor,38211.96
6169,2006,Material,135329.01
6169,2007,Labor,32928.64
6169,2007,Material,99197.72
6169,2008,Labor,0
6170,2004,Labor,3289.1
6170,2004,Material,1680.42
6170,2005,Labor,5501.97
6170,2005,Material,80217.58
6171,2005,Labor,19320.4
6171,2006,Labor,31267.53
6172,2004,Labor,2260.69
6172,2004,Material,4116.97
6172,2005,Material,45055.33
6172,2007,Labor,1450.29
6172,2007,Material,3521.49
6172,2008,Material,1630.2
6173,2004,Labor,3564.94
6173,2004,Material,10995.13
6173,2005,Labor,26811.82
6173,2005,Material,193023.11
6173,2006,Labor,8288.6
6173,2006,Material,9000
6173,2007,Labor,170.48
6174,2004,Labor,1314.33
6174,2005,Labor,1036.35
6174,2006,Labor,7723.54
6174,2006,Material,97.38
6174,2007,Labor,15762.31
6174,2007,Material,171290.6
6174,2008,Labor,42847.27
6174,2008,Material,186330.06
6174,2009,Labor,23821.33
6174,2009,Material,226514.93
6174,2010,Labor,1433.64
6174,2010,Material,21286
6175,2004,Labor,554.56
6175,2004,Material,8988
6175,2005,Labor,98.71
6175,2005,Material,14805
6175,2006,Material,11188.57
6175,2007,Material,16633.25
6175,2008,Material,19505.95
6175,2009,Labor,673.86
6175,2009,Material,15775
6175,2010,Material,21299.98
6175,2011,Material,21610
6175,2012,Material,16525
6175,2013,Material,19791
6175,2014,Material,18032
6175,2015,Material,20988.34
6175,2016,Material,17266
6175,2017,Material,23849
6175,2018,Material,22305
6175,2019,Material,5166
6176,2004,Material,40000
6176,2005,Labor,4179.51
6176,2005,Material,21475.03
6176,2006,Labor,2054.72
6176,2006,Material,35483.85
6176,2007,Material,37693
6176,2008,Labor,1021.79
6176,2008,Material,21759.38
6176,2009,Labor,1374.95
6176,2009,Material,24277.32
6176,2010,Labor,1959.39
6176,2010,Material,30649.46
6176,2011,Labor,124.17
6176,2011,Material,10878.05
6177,2004,Labor,29865.64
6177,2004,Material,338975.79
6177,2005,Labor,97932.74
6177,2005,Material,924554.2
6177,2006,Labor,134868.34
6177,2006,Material,1022500.73
6177,2007,Labor,187395.4
6177,2007,Material,718888.91
6177,2008,Labor,95889.98
6177,2008,Material,1036428.68
6177,2009,Labor,235505.96
6177,2009,Material,3351759.23
6177,2010,Material,0
6178,2004,Labor,25157.73
6178,2005,Labor,46212.02
6178,2006,Labor,0
6178,2007,Labor,635.88
6179,2004,Labor,20723.06
6179,2004,Material,297.52
6179,2005,Labor,64097.14
6179,2005,Material,238128.35
6179,2006,Labor,48734.15
6179,2006,Material,113352.64
6179,2007,Labor,21243.61
6179,2007,Material,64383.38
6179,2008,Labor,32498.82
6179,2008,Material,65993.63
6179,2009,Labor,19550.47
6179,2009,Material,39895.78
6179,2010,Labor,95.55
6179,2010,Material,3357
6180,2004,Material,600
6180,2005,Labor,0
6181,2004,Labor,1506.25
6181,2005,Labor,10579.54
6181,2005,Material,3830.97
6181,2006,Labor,15957.44
6181,2006,Material,525073.83
6181,2007,Labor,14835.51
6181,2007,Material,539166.56
6181,2008,Labor,99.01
6182,2004,Labor,1877.1
6182,2005,Labor,9313.5
6182,2005,Material,20392.72
6182,2006,Labor,20575.17
6182,2006,Material,42712.06
6182,2007,Labor,17545.41
6182,2007,Material,371185.46
6182,2008,Labor,1019.96
6182,2008,Material,2000
6183,2004,Labor,1684.72
6183,2005,Labor,1019.25
6185,2004,Labor,2445.35
6185,2004,Material,33220.74
6185,2005,Labor,26223.79
6185,2005,Material,98736.94
6185,2006,Labor,62178.68
6185,2006,Material,236903.9
6185,2007,Labor,55031.31
6185,2007,Material,361187.66
6185,2008,Labor,97540.43
6185,2008,Material,1163379.1
6185,2009,Labor,20590.46
6185,2009,Material,37474.36
6185,2010,Labor,13764.74
6185,2010,Material,39510.13
6185,2011,Labor,380.89
6185,2011,Material,366.87
6186,2004,Labor,1059.33
6186,2005,Labor,70166.74
6186,2005,Material,343583.31
6186,2006,Labor,294671.15
6186,2006,Material,889777.39
6186,2007,Labor,170048.43
6186,2007,Material,387550.93
6186,2008,Labor,66749.52
6186,2008,Material,67235.86
6187,2004,Labor,3185.12
6187,2004,Material,77048.84
