ProjectNumber,BudgetYear,CostType,CostAmount
4836,2012,Material,2970
4840,2002,Labor,18115.95
4840,2002,Material,447964.99
4840,2003,Labor,101854.25
4840,2003,Material,42145.31
4840,2004,Labor,27537.37
4840,2004,Material,0
4840,2005,Labor,25225.73
4840,2005,Material,17786
4840,2006,Labor,23000.3
4842,2002,Material,130911.13
4842,2003,Labor,6602.72
4842,2003,Material,6312.38
4842,2004,Labor,15794.52
4842,2004,Material,1676.74
4842,2006,Labor,7293.75
4842,2006,Material,3923.24
4842,2007,Labor,7432
4842,2007,Material,19668.58
4842,2009,Labor,10238.44
4842,2009,Material,3091
4842,2010,Labor,4145.7
4842,2010,Material,6350
4842,2011,Material,1497.6
4842,2012,Labor,47.71
4843,2002,Labor,120.99
4843,2002,Material,43702.07
4844,2002,Labor,17267.71
4844,2002,Material,99444.61
4844,2003,Labor,66525.6
4844,2003,Material,9068.82
4844,2004,Labor,74261.59
4844,2004,Material,7355.78
4844,2005,Labor,25718.24
4844,2005,Material,6223.84
4844,2006,Labor,2145.45
4844,2006,Material,7222.74
4847,2002,Labor,4503.36
4847,2002,Material,101083.1
4847,2003,Labor,7928.42
4847,2003,Material,1947.33
4847,2004,Labor,4457.64
4847,2004,Material,23966.42
4847,2005,Labor,2911.51
4847,2005,Material,22581.54
4850,2002,Material,738730.18
4850,2005,Labor,0
4851,2002,Material,119427.65
4852,2002,Labor,321.81
4852,2002,Material,87068.45
4852,2003,Labor,7521.46
4852,2003,Material,3500
4852,2004,Labor,5506.51
4852,2004,Material,2166.43
4852,2005,Labor,328.19
4852,2006,Labor,13751.35
4852,2007,Labor,1530.84
4853,2002,Material,155986.74
4858,2002,Material,43801.81
4861,2002,Material,8726.93
4861,2003,Labor,2214.19
4861,2003,Material,13605.74
4861,2004,Labor,4636.31
4861,2004,Material,72225.07
4861,2005,Labor,8512.45
4861,2005,Material,44262.57
4861,2006,Labor,8670.62
4861,2006,Material,35037.33
4861,2007,Labor,67827.88
4861,2007,Material,115008.86
4861,2008,Labor,1644.24
4861,2008,Material,22800.39
4861,2009,Labor,101.69
4861,2009,Material,20008.78
4861,2010,Labor,133.92
4861,2010,Material,11686.22
4861,2011,Labor,44.71
4861,2011,Material,3796.03
4863,2003,Material,96420.76
4863,2004,Material,18817
4863,2005,Labor,292.06
4863,2005,Material,-22991.5
4863,2006,Labor,3598.64
4863,2006,Material,1981
4863,2007,Labor,27550.82
4863,2007,Material,52073.05
4863,2008,Labor,582.72
4863,2009,Labor,678.81
4863,2010,Labor,51870.46
4863,2010,Material,44644.51
4863,2011,Labor,7493.32
4863,2011,Material,114064.27
4863,2012,Labor,7750.78
4863,2013,Labor,16945.39
4863,2013,Material,57459.3
4863,2014,Labor,22515.87
4872,2002,Labor,51.93
4872,2002,Material,2989.15
4877,2002,Material,739245.92
4879,2002,Material,55557.9
4879,2003,Material,19950
4879,2004,Material,40677.81
4882,2002,Labor,7942.82
4882,2002,Material,92235.86
4882,2003,Labor,23635.43
4882,2003,Material,16434.15
4882,2004,Labor,34646.13
4882,2004,Material,2976.58
4882,2005,Labor,40691.72
4882,2005,Material,492898.94
4882,2006,Labor,1288.56
4882,2006,Material,313.5
4882,2007,Labor,774.07
4884,2002,Labor,34.62
4884,2002,Material,186948.83
4884,2003,Labor,54.98
4884,2003,Material,1163.89
4884,2004,Material,1734.32
4884,2005,Material,-2237.6
4885,2002,Labor,4503.51
4885,2002,Material,9199.22
4886,2002,Labor,1902.86
4886,2002,Material,80649.34
4886,2003,Labor,7846.02
4886,2003,Material,2866.99
4886,2004,Labor,30140.73
4886,2004,Material,14075.47
4886,2005,Labor,27884.66
4886,2005,Material,271198.01
4886,2006,Labor,5151.35
4886,2006,Material,23123.64
4886,2007,Labor,763.72
4886,2007,Material,5999.99
4890,2002,Labor,2472.19
4890,2002,Material,170066.89
4890,2003,Labor,16161.75
4890,2003,Material,489274.65
4890,2004,Labor,1365.5
4890,2005,Labor,2676.91
4890,2005,Material,10219.58
4891,2002,Material,123.5
4891,2003,Labor,209.03
4891,2003,Material,304
4891,2005,Material,-4050.2
4891,2006,Material,590.7
4891,2007,Material,5895.15
4891,2008,Material,10163.12
4891,2009,Material,5403.52
4891,2010,Labor,46
4891,2010,Material,12663.55
4891,2011,Material,193.62
4892,2002,Material,15276.16
4893,2002,Material,11170.43
4893,2003,Labor,273.33
4893,2004,Labor,548.17
4894,2002,Labor,21328.2
4894,2002,Material,195422.5
4894,2003,Labor,29378.42
4894,2004,Labor,786.79
4894,2006,Labor,21705.95
4894,2007,Labor,53991.03
4894,2007,Material,46086.94
4894,2008,Labor,97380.73
4894,2008,Material,47459.33
