ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
141,Fanno Creek - Hall Blvd to Ash Ave,2006,Misc Tree Spp - Container,100,Misc Tree Spp,Not Listed,Not Listed,Not Listed,Container
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Physocarpus capitatus (Pacific Ninebark) - Bare Root,500,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Oemleria cerasiformis (Indian Plum) - Bare Root,300,Oemleria cerasiformis,Native Woody,Shrub,FACU,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Cornus sericea (Red osier dogwood) - Bare Root,600,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Spiraea douglasii (Douglas Spiraea) - Bare Root,1500,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Rubus ursinus (trailing blackberry) - Bare Root,300,Rubus ursinus,Native Woody,Shrub,FACU,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Philadelphus lewisii (Mock Orange) - Bare Root,300,Philadelphus lewisii,Native Woody,Shrub,NI,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Euonymus occidentalis (Western wahoo) - Bare Root,200,Euonymus occidentalis,Native Woody,Shrub,FAC,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Sambucus racemosa (Red Elderberry) - Bare Root,400,Sambucus racemosa,Native Woody,Shrub,FACU,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Lonicera involucrata (Black Twinberry) - Bare Root,200,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Rhamnus purshiana (Cascara) - Bare Root,400,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2008,Rubus spectabilis (Salmonberry) - Bare Root,800,Rubus spectabilis,Native Woody,Shrub,FAC,Bare Root
141,Fanno Creek - Hall Blvd to Ash Ave,2009,Acer macrophyllum (Bigleaf maple) - Bare Root,500,Acer macrophyllum,Native Woody,Tree,FACU,Bare Root
