ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
123,Fanno Creek -  Englewood,2007,Symphoricarpos albus (Common Snowberry) - Bare Root,600,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
123,Fanno Creek -  Englewood,2007,Physocarpus capitatus (Pacific Ninebark) - Bare Root,1200,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
123,Fanno Creek -  Englewood,2007,Euonymus occidentalis (Western wahoo) - Bare Root,400,Euonymus occidentalis,Native Woody,Shrub,FAC,Bare Root
123,Fanno Creek -  Englewood,2007,Salix lasiandra (Pacific Willow) - Bare Root,600,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
123,Fanno Creek -  Englewood,2007,Sambucus cerulea (Blue Elderberry) - Bare Root,1975,Sambucus nigra ssp. cerulea,Native Woody,Shrub,NI,Bare Root
123,Fanno Creek -  Englewood,2007,Spiraea douglasii (Douglas Spiraea) - Bare Root,2000,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
123,Fanno Creek -  Englewood,2007,Rubus ursinus (trailing blackberry) - Bare Root,400,Rubus ursinus,Native Woody,Shrub,FACU,Bare Root
123,Fanno Creek -  Englewood,2007,Quercus garryana (Oregon White Oak) - Bare Root,600,Quercus garryana,Native Woody,Tree,FACU,Bare Root
123,Fanno Creek -  Englewood,2007,Pinus ponderosa (W.v.) (W. v. Ponderosa pine ) - Bare Root,100,Pinus ponderosa,Native Woody,Tree,FACU,Bare Root
123,Fanno Creek -  Englewood,2007,Populus trichocarpa (Black cottonwood) - Bare Root,1000,Populus trichocarpa,Native Woody,Tree,NI,Bare Root
123,Fanno Creek -  Englewood,2007,Salix piperi (Piper Willow) - Bare Root,600,Salix piperi,Not Listed,Not Listed,Not Listed,Bare Root
