ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
6758,Alden Street WQF,2016,Camassia quamash (Common camas) - Bulb,250,Camassia sp.,Native Herbaceous,Forb,FACW,Bulb
6758,Alden Street WQF,2016,Carex densa (Dense sedge) - Plug,1200,Carex densa,Native Herbaceous,Sedge,OBL,Plug
6758,Alden Street WQF,2016,Carex obnupta (Slough sedge) - Plug,1500,Carex obnupta,Native Herbaceous,Sedge,OBL,Plug
6758,Alden Street WQF,2016,Carex stipata (Sawbeak sedge) - Plug,500,Carex stipata,Native Herbaceous,Sedge,OBL,Plug
6758,Alden Street WQF,2016,Juncus acuminatus (tapertip rush) - Plug,1500,Juncus acuminatus,Native Herbaceous,Grass,OBL,Plug
6758,Alden Street WQF,2016,Juncus patens (Soft rush) - Plug,1500,Juncus patens,Native Herbaceous,Rush,FACW,Plug
6758,Alden Street WQF,2016,Scirpus acutus (Softstem bullrush) - Plug,500,Scirpus acutus,Not Listed,Not Listed,Not Listed,Plug
6758,Alden Street WQF,2016,Carex stipata (Sawbeak sedge) - Plug,500,Carex stipata,Native Herbaceous,Sedge,OBL,Plug
6758,Alden Street WQF,2016,Iris tenax (toughleaf iris) - Bare Root - CAP ENG only,250,Iris tenax,Native Herbaceous,Forb,NI,Bare Root
6758,Alden Street WQF,2016,Sidalcea campestris (meadow checker mallow) - Plug,100,Sidalcea campestris,Native Herbaceous,Forb,FACU,Plug
6758,Alden Street WQF,2016,Acer circinatum (Vine Maple) - Bare Root,50,Acer circinatum,Native Woody,Tree,FAC,Bare Root
6758,Alden Street WQF,2016,Cornus sericea (Red osier dogwood) - Bare Root,100,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
6758,Alden Street WQF,2016,Mahonia aquifolium (Tall Oregon grape) - Bare Root,100,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2016,Oemleria cerasiformis (Indian Plum) - Bare Root,100,Oemleria cerasiformis,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2016,Rhamnus purshiana (Cascara) - Bare Root,50,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
6758,Alden Street WQF,2016,Rubus parviflorus (Thimbleberry) - Bare Root,100,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2016,Sambucus racemosa (Red Elderberry) - Bare Root,100,Sambucus racemosa,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2016,Symphoricarpos albus (Common Snowberry) - Bare Root,100,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2017,Rhamnus purshiana (Cascara) - Bare Root,50,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
6758,Alden Street WQF,2018,Rhamnus purshiana (Cascara) - Bare Root,50,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
6758,Alden Street WQF,2017,Mahonia aquifolium (Tall Oregon grape) - Bare Root,50,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2018,Mahonia aquifolium (Tall Oregon grape) - Bare Root,50,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2017,Rubus parviflorus (Thimbleberry) - Bare Root,50,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2018,Rubus parviflorus (Thimbleberry) - Bare Root,50,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2017,Symphoricarpos albus (Common Snowberry) - Bare Root,50,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2018,Symphoricarpos albus (Common Snowberry) - Bare Root,100,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
6758,Alden Street WQF,2017,Acer circinatum (Vine Maple) - Bare Root,50,Acer circinatum,Native Woody,Tree,FAC,Bare Root
6758,Alden Street WQF,2018,Acer circinatum (Vine Maple) - Bare Root,50,Acer circinatum,Native Woody,Tree,FAC,Bare Root
6758,Alden Street WQF,2017,Acer macrophyllum (Bigleaf maple) - Bare Root,50,Acer macrophyllum,Native Woody,Tree,FACU,Bare Root
6758,Alden Street WQF,2017,Salix sitchensis (Sitka Willow) - Bare Root,50,Salix sitchensis,Native Woody,Shrub,FACW,Bare Root
6758,Alden Street WQF,2017,Cornus sericea (Red osier dogwood) - Bare Root,50,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
6758,Alden Street WQF,2017,Sambucus racemosa (Red Elderberry) - Bare Root,50,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
6758,Alden Street WQF,2018,Sambucus racemosa (Red Elderberry) - Bare Root,50,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
6758,Alden Street WQF,2017,Carex obnupta (Slough sedge) - Plug,1000,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Plug
