ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
1080,Fanno Creek - Greenway Park,2012,Rosa pisocarpa (Swamp rose) - Bare Root,1000,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2012,Spiraea douglasii (Douglas Spiraea) - Bare Root,1000,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2012,Mahonia aquifolium (Tall Oregon grape) - Bare Root,600,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2012,Populus trichocarpa (Black cottonwood) - Bare Root,300,Populus trichocarpa,Native Woody,Tree,NI,Bare Root
1080,Fanno Creek - Greenway Park,2012,Crataegus douglasii (Black Hawthorn) - Bare Root,500,Crataegus douglasii,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2012,Fraxinus latifolia (Oregon ash) - Bare Root,800,Fraxinus latifolia,Native Woody,Tree,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2012,Cornus sericea (Red osier dogwood) - Bare Root,500,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2012,Rubus parviflorus (Thimbleberry) - Bare Root,1000,Rubus parviflorus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2012,Salix lasiandra (Pacific Willow) - Bare Root,300,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2012,Euonymus occidentalis (Western wahoo) - Bare Root,200,Euonymus occidentalis,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2012,Sambucus racemosa (Red Elderberry) - Bare Root,1000,Sambucus racemosa,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2012,Lonicera involucrata (Black Twinberry) - Bare Root,500,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2012,Acer circinatum (Vine Maple) - Container,5,Acer circinatum,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Salix sitchensis (Sitka Willow) - Container,30,Salix sitchensis,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2012,Cornus sericea (Red osier dogwood) - Live Stakes,1000,Cornus sericea,Native Woody,Shrub,FACW,Live Stakes
1080,Fanno Creek - Greenway Park,2012,Physocarpus capitatus (Pacific Ninebark) - Live Stakes,750,Physocarpus capitatus,Native Woody,Shrub,FACW,Live Stakes
1080,Fanno Creek - Greenway Park,2012,Holodiscus discolor (Oceanspray) - Container,31,Holodiscus discolor,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2012,Lonicera involucrata (Black Twinberry) - Container,15,Lonicera involucrata,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2012,Lonicera involucrata (Black Twinberry) - Container,6,Lonicera involucrata,Native Woody,Shrub,FAC,Container
